id,ref,year,source,target,task_type,metric,delta,seeds_reported,n_seeds,sd_or_ci_reported,evidence,note
# Sampling rule: pre-registration R.4 (2023-01 to 2026-09; trained on one of WHU/Inria/Massachusetts and tested on another; UDA/DG/source-only included). Search date 2026-09-12. evidence=abstract means only the abstract was read (full text not reachable); at abstract level the seeds/SD columns can only record "no (not mentioned in the abstract)".
# Included (a target-domain delta relative to a baseline is reported; the domain pair is within or partly within scope)
R4-01,Luo et al. WHU-Mix & BSM (IEEE JSTARS 2023 16:4122–4138; doi 10.1109/JSTARS.2023.3268176),2023,WHU-Mix trainval (contains WHU+Inria),"WHU-Mix five-city test set (US_Kitsap is an Inria city; also CN_Wuxi/NZ_Dunedin/DE_Potsdam/SD_Khartoum)",DG,mIoU,0.123,no,,no,fulltext,"Full-text table: DeepLabV3+ baseline five-city mean mIoU 58.10 -> BSM 70.37 (+12.3 points); AT-MAFCN baseline 58.89 -> full module about +11 points; the source contains WHU/Inria and the target contains the Inria city Kitsap; no seed/SD"
R4-02,Wang et al. SPENet multisource UDA (IEEE TNNLS 2024 35(11):16091–16105; doi 10.1109/TNNLS.2023.3291876),2024,Inria (Austin+Kitsap),"Potsdam (the paper also uses Massachusetts/Village Finder/GF-2; 12 cities as mutual source/target)",UDA (multi-source),IoU,0.022,no,,no,fulltext,"Main comparison in the abstract: Austin+Kitsap->Potsdam 59.1% IoU, +2.2 points over the supervised domain method; the full text has a table with Massachusetts as target, but it is an image table and its cells were not extracted; no seed/SD"
R4-03,Zhao/Zhou/Hou anomaly-detection DA (Applied Sciences 2023 13(3):1674; doi 10.3390/app13031674),2023,Inria,WHU,source-only+post-processing,IoU,0.0994,no,,no,fulltext,"Full-text Table 3 (B10 re-downloaded 2026-09-13): IAILD->WHU satellite building set I (204 test images), UNet pre-trained only F1 60.72/IoU 43.32 -> AD-DAF F1 69.42/IoU 53.26, i.e. dF1 +0.087 and dIoU +0.0994; recorded as IoU to match the other rows (F1 0.087 had been recorded at abstract level); single run, no seed/SD; the target is the WHU satellite set I rather than the WHU aerial set, still counted as a domain pair within scope"
R4-04,Pham et al. data augmentation for cross-domain building extraction (Remote Sensing 2026 18(8):1176; doi 10.3390/rs18081176),2026,WHU,"HUMG (self-built, Vietnam; resolution shift) and Japan->Thailand",source-only+augmentation,mIoU,0.116,yes,3,yes,fulltext,"Table 4: S3 WHU->HUMG with 20% training data, no augmentation 0.572 -> combined augmentation 0.688 (+0.116; mean +/- SD over 3 seeds); **the only paper reporting several seeds and an SD**; source WHU within scope, target HUMG not"
R4-05,MSA-UNet/MSA-ResUNet supervised DA (Remote Sensing 2023 15(2):488; doi 10.3390/rs15020488),2023,WHU (TR1),"Melbourne Building dataset (self-built TR2; 5x fewer images, 4x lower resolution)",SDA,IoU,0.27,no,,no,fulltext,"The target is a self-built Melbourne set (out of scope); the delta is on a 'trained on the small set, validated on the large set' basis and not comparable with the other rows; no seed/SD"
# 2026-09-13 full-text additions (the authors supplied the full texts B1-B7); full text still missing: R4-01/02/03/04/05 (B8-B12) and the Scholar export (B13)
# Screened out (domain pair / task / metric out of scope)
R4-06,Memory-contrastive UDA (MCD) for building extraction (IEEE TGRS 2023 61:5605615; doi 10.1109/TGRS.2023.3262576),2023,LoveDA-Urban,WHU,UDA,IoU,0.183,no,,no,fulltext,"Urban->WHU: IoU +18.32 points over source-only (main text); target within scope, source (LoveDA) not; no seed/SD in the full text"
